review_id,customer_id,product_id,order_id,rating,review_text
1,522,214,1,2,"It was okay, nothing special."
2,522,69,1,4,Would not buy again.
3,522,471,1,5,Absolutely loved it!
4,522,263,1,3,Absolutely loved it!
5,522,328,1,5,Exactly what I was looking for!
6,1475,487,2,5,Would not buy again.
7,1475,208,2,2,Great quality for the price.
8,929,496,3,1,Exceeded my expectations.
9,929,258,3,4,Great quality for the price.
10,929,190,3,5,"It was okay, nothing special."
11,1221,7,4,4,Would not buy again.
12,1221,198,4,2,Would not buy again.
13,617,54,5,4,Would not buy again.
14,617,73,5,3,Great quality for the price.
15,361,330,6,2,Exactly what I was looking for!
16,361,114,6,4,"It was okay, nothing special."
17,127,167,7,5,Exactly what I was looking for!
18,127,164,7,1,Would not buy again.
19,127,64,7,5,Exceeded my expectations.
20,719,402,8,4,Would not buy again.
21,719,76,8,5,Exceeded my expectations.
22,719,90,8,4,Exactly what I was looking for!
23,719,117,8,5,Would not buy again.
24,797,203,9,1,Exceeded my expectations.
25,797,494,9,4,Absolutely loved it!
26,907,9,10,3,Exceeded my expectations.
27,907,368,10,3,Exactly what I was looking for!
28,907,26,10,2,Exceeded my expectations.
29,907,273,10,4,Great quality for the price.
30,907,118,10,4,"It was okay, nothing special."
31,1042,24,11,5,Great quality for the price.
32,1042,220,11,3,Great quality for the price.
33,1042,47,11,5,Great quality for the price.
34,1042,245,11,2,Absolutely loved it!
35,1356,291,12,3,Exceeded my expectations.
36,1356,119,12,1,Exactly what I was looking for!
37,1356,174,12,2,Exceeded my expectations.
38,1356,469,12,3,Exactly what I was looking for!
39,1356,263,12,1,"It was okay, nothing special."
40,558,238,13,1,Exactly what I was looking for!
41,558,231,13,1,Great quality for the price.
42,558,132,13,3,Exceeded my expectations.
43,558,379,13,1,Absolutely loved it!
44,558,326,13,2,"It was okay, nothing special."
45,226,149,14,2,Absolutely loved it!
46,226,448,14,4,Exceeded my expectations.
47,226,476,14,3,Would not buy again.
48,226,452,14,1,"It was okay, nothing special."
49,226,115,14,2,Would not buy again.
50,323,168,15,2,Would not buy again.
51,323,242,15,5,Great quality for the price.
52,323,156,15,4,Absolutely loved it!
53,323,378,15,1,Would not buy again.
54,1193,134,16,1,Great quality for the price.
55,420,150,17,2,Absolutely loved it!
56,420,213,17,4,"It was okay, nothing special."
57,420,73,17,2,"It was okay, nothing special."
58,420,250,17,1,Would not buy again.
59,1621,374,18,3,Great quality for the price.
60,1621,170,18,2,Exceeded my expectations.
61,1621,210,18,5,Exactly what I was looking for!
62,980,108,19,2,Would not buy again.
63,980,15,19,2,Great quality for the price.
64,980,380,19,4,Absolutely loved it!
65,531,212,20,5,Exactly what I was looking for!
66,531,275,20,1,Would not buy again.
67,531,80,20,2,Exceeded my expectations.
68,995,235,21,2,Would not buy again.
69,995,457,21,2,Would not buy again.
70,995,181,21,5,Exceeded my expectations.
71,995,460,21,2,"It was okay, nothing special."
72,995,286,21,4,Absolutely loved it!
73,1324,227,22,5,Exceeded my expectations.
74,1324,412,22,2,"It was okay, nothing special."
75,1324,393,22,4,"It was okay, nothing special."
76,1225,467,23,5,Absolutely loved it!
77,1225,310,23,2,"It was okay, nothing special."
78,311,331,24,1,Great quality for the price.
79,311,172,24,3,Exactly what I was looking for!
80,1176,401,25,5,Would not buy again.
81,1176,446,25,1,"It was okay, nothing special."
82,1101,469,26,2,Exceeded my expectations.
83,1101,199,26,1,Absolutely loved it!
84,1101,112,26,4,Would not buy again.
85,1101,99,26,5,Great quality for the price.
86,1101,498,26,1,Absolutely loved it!
87,1558,57,27,5,"It was okay, nothing special."
88,1558,32,27,5,Absolutely loved it!
89,96,474,28,3,"It was okay, nothing special."
90,96,274,28,2,Exactly what I was looking for!
91,1808,91,29,5,Exceeded my expectations.
92,1808,340,29,3,Absolutely loved it!
93,1808,498,29,5,Exceeded my expectations.
94,1808,481,29,4,Absolutely loved it!
95,1841,490,30,4,Exceeded my expectations.
96,1841,127,30,5,Great quality for the price.
97,1841,201,30,5,Exactly what I was looking for!
98,1841,49,30,2,Absolutely loved it!
99,1287,74,31,3,"It was okay, nothing special."
100,1287,2,31,4,Absolutely loved it!
101,1287,208,31,2,Exceeded my expectations.
102,1287,237,31,4,Exactly what I was looking for!
103,600,413,32,5,Absolutely loved it!
104,600,235,32,3,Exceeded my expectations.
105,600,274,32,3,Great quality for the price.
106,600,341,32,4,Would not buy again.
107,600,135,32,3,Great quality for the price.
108,1392,150,33,5,Exactly what I was looking for!
109,1392,222,33,5,Great quality for the price.
110,1392,83,33,2,Great quality for the price.
111,1392,63,33,3,Great quality for the price.
112,1903,313,34,3,Would not buy again.
113,1903,312,34,5,Exceeded my expectations.
114,1903,158,34,4,Absolutely loved it!
115,1737,86,35,4,Absolutely loved it!
116,1311,285,36,2,Absolutely loved it!
117,1311,431,36,3,"It was okay, nothing special."
118,1311,230,36,1,Exactly what I was looking for!
119,966,58,37,1,Great quality for the price.
120,966,462,37,1,Exactly what I was looking for!
121,966,216,37,1,Exactly what I was looking for!
122,1051,5,38,5,Would not buy again.
123,1051,157,38,2,"It was okay, nothing special."
124,1157,227,39,3,Absolutely loved it!
125,1157,70,39,2,"It was okay, nothing special."
